iter	RMSE
0	7.292546682
1	7.13145194
2	6.977832655
3	6.82438403
4	6.684546705
5	6.545190548
6	6.400647487
7	6.274652599
8	6.144321346
9	6.024479966
10	5.910736099
11	5.784175147
12	5.685247648
13	5.576079136
14	5.478460578
15	5.363196358
16	5.24779259
17	5.150297734
18	5.037571228
19	4.937187847
20	4.838367952
21	4.740550181
22	4.651303629
23	4.55183614
24	4.464421411
25	4.387683224
26	4.304956781
27	4.214826905
28	4.135442993
29	4.05656278
30	3.981367163
31	3.898490559
32	3.825107657
33	3.758127284
34	3.691800569
35	3.624052835
36	3.565872138
37	3.499248952
38	3.444748522
39	3.387948675
40	3.328182334
41	3.272161415
42	3.229240532
43	3.17231325
44	3.125951339
45	3.072985283
46	3.02213551
47	2.965921773
48	2.914041456
49	2.863857437
50	2.809953399
51	2.768955045
52	2.720703724
53	2.676653811
54	2.634180785
55	2.595217059
56	2.554600899
57	2.51402371
58	2.476132109
59	2.440964952
60	2.397126491
61	2.359453182
62	2.32180631
63	2.285561303
64	2.253743406
65	2.214398279
66	2.179634151
67	2.150273792
68	2.123165988
69	2.09219591
70	2.057238271
71	2.027057182
72	1.999338328
73	1.972195652
74	1.942180535
75	1.916072481
76	1.885855582
77	1.85841176
78	1.826239783
79	1.79905233
80	1.772421798
81	1.745515494
82	1.716157692
83	1.691716795
84	1.664852497
85	1.643158829
86	1.619638994
87	1.598832813
88	1.575068293
89	1.551759278
90	1.529113383
91	1.509197088
92	1.492222429
93	1.472676972
94	1.452892207
95	1.438212507
96	1.420545024
97	1.400114966
98	1.383595463
99	1.368906579
100	1.35504771
101	1.336750951
102	1.320459287
103	1.303657633
104	1.288861092
105	1.275237434
106	1.261177942
107	1.245436279
108	1.231868635
109	1.216878614
110	1.202230355
111	1.190020257
112	1.176076494
113	1.162069217
114	1.149102416
115	1.137243507
116	1.127852274
117	1.115121825
118	1.103865239
119	1.093741601
120	1.082209388
121	1.07066462
122	1.059168033
123	1.046991021
124	1.035645383
125	1.026580016
126	1.015165246
127	1.006651427
128	0.9976469007
129	0.9852278959
130	0.9760572375
131	0.9669570434
132	0.9568996592
133	0.9491186463
134	0.9399735561
135	0.9316943988
136	0.9222354907
137	0.914925947
138	0.9090427015
139	0.9007571165
140	0.8925411653
141	0.8854330801
142	0.8777884063
143	0.8710971468
144	0.8650156017
145	0.8576025922
146	0.8496388256
147	0.8426255579
148	0.8345345641
149	0.8276680324
150	0.8208298519
151	0.8143209377
152	0.8074488125
153	0.7997153782
154	0.7940481463
155	0.7887583463
156	0.7818771119
157	0.7763488887
158	0.7694886172
159	0.7638151306
160	0.7571498822
161	0.7491274856
162	0.7416923258
163	0.7348559918
164	0.7289973737
165	0.7238704071
166	0.7171002036
167	0.709816867
168	0.7046983398
169	0.6983890849
170	0.6925273235
171	0.6876577414
172	0.68277841
173	0.6782387382
174	0.6734762546
175	0.669024312
176	0.6646779216
177	0.6589188386
178	0.6544987016
179	0.6504464902
180	0.6462123844
181	0.6415935173
182	0.6361419337
183	0.6326814405
184	0.6281209512
185	0.6240540793
186	0.6203535636
187	0.617106571
188	0.6126428411
189	0.6084622942
190	0.6058733238
191	0.6031855649
192	0.5997272318
193	0.5953769651
194	0.5906143955
195	0.5872242751
196	0.5823839352
197	0.5790984834
198	0.5760680451
199	0.572741248
200	0.5692631879
201	0.5663930139
202	0.5632915086
203	0.5615195065
204	0.5573469133
205	0.555220159
206	0.5525483472
207	0.5495212215
208	0.5480471007
209	0.5449327345
210	0.5428298572
211	0.5406295559
212	0.5391449269
213	0.5365777591
214	0.5334039867
215	0.5300367621
216	0.5282983238
217	0.525157803
218	0.5236402565
219	0.5221431823
220	0.520135063
221	0.5184605232
222	0.5157135277
223	0.5131126095
224	0.5117364076
225	0.5098080459
226	0.5063873078
227	0.5045452786
228	0.5030782036
229	0.5013480954
230	0.4990093305
231	0.4975436768
232	0.4963617601
233	0.4947875729
234	0.4935423098
235	0.4902700469
236	0.4884942888
237	0.4865512484
238	0.4841635642
239	0.4815736937
240	0.4799928578
241	0.478589564
242	0.4771297072
243	0.4750542662
244	0.4738695175
245	0.4716355633
246	0.4706161001
247	0.4696900743
248	0.467659939
249	0.4657953115
250	0.4635872745
251	0.4614387722
252	0.4598936367
253	0.4575587762
254	0.4565724765
255	0.4536642328
256	0.4528256263
257	0.4508303263
258	0.4489001527
259	0.4480837993
260	0.4460023192
261	0.444223932
262	0.4430208787
263	0.4416795776
264	0.440311049
265	0.4396637924
266	0.4372889095
267	0.4354832334
268	0.4346416778
269	0.4338159522
270	0.431333788
271	0.4306030029
272	0.4283942108
273	0.426837465
274	0.4259166205
275	0.4253422135
276	0.4234534315
277	0.4225787658
278	0.4218804152
279	0.4205274942
280	0.4200428629
281	0.4193640692
282	0.4171018475
283	0.4159824202
284	0.4150857252
285	0.4139879313
286	0.4133435636
287	0.4118384055
288	0.4105145351
289	0.4099061286
290	0.4091334637
291	0.4077368607
292	0.405736675
293	0.4045123761
294	0.40244901
295	0.4019391506
296	0.4013152782
297	0.3998552858
298	0.3993726596
299	0.3988285644
300	0.3981462933
301	0.3961142917
302	0.3946873647
303	0.3936334298
304	0.3921180149
305	0.3911437553
306	0.3893769313
307	0.3889369039
308	0.3883235524
309	0.3874783573
310	0.3870438061
311	0.3860693131
312	0.383935867
313	0.3829995535
314	0.3819129645
315	0.3809509678
316	0.3800448642
317	0.3796853969
318	0.3783907579
319	0.3777112606
320	0.3765319825
321	0.3756948078
322	0.3749482216
323	0.373706816
324	0.3729530244
325	0.3725368852
326	0.3721733341
327	0.371546478
328	0.3703791367
329	0.3695477723
330	0.3687719104
331	0.3667177247
332	0.3663774396
333	0.3652281768
334	0.3640472988
335	0.3628848647
336	0.3625492934
337	0.3622465694
338	0.3609014737
339	0.3601111324
340	0.3598023883
341	0.3595144021
342	0.3592248087
343	0.3583885358
344	0.3580121211
345	0.3577294773
346	0.3564881509
347	0.3561418288
348	0.3558454247
349	0.3555910335
350	0.3552355968
351	0.3541978706
352	0.3537746127
353	0.3532230356
354	0.3529401578
355	0.3527040845
356	0.3524820199
357	0.3522377224
358	0.350154877
359	0.3495921873
360	0.3493582685
361	0.348451953
362	0.3475119566
363	0.3457770655
364	0.3448225186
365	0.343318939
366	0.3415161991
