iter	Passed	Remaining
0	1	660
1	2	574
2	3	546
3	4	538
4	5	519
5	6	515
6	7	511
7	8	501
8	9	498
9	10	492
10	11	498
11	12	517
12	13	514
13	14	509
14	15	504
15	16	511
16	18	511
17	18	507
18	19	498
19	20	494
20	22	502
21	22	497
22	23	493
23	24	493
24	26	507
25	27	507
26	28	504
27	29	501
28	30	497
29	31	491
30	32	488
31	33	485
32	34	483
33	35	480
34	36	478
35	37	477
36	38	475
37	39	480
38	40	484
39	41	482
40	42	474
41	43	469
42	44	476
43	45	476
44	46	474
45	47	472
46	48	470
47	49	470
48	50	468
49	53	481
50	56	495
51	57	496
52	58	495
53	59	493
54	61	496
55	62	495
56	63	494
57	64	493
58	69	520
59	70	520
60	71	517
61	73	517
62	74	516
63	75	514
64	76	513
65	77	511
66	78	510
67	80	509
68	81	509
69	82	507
70	83	506
71	84	505
72	86	503
73	87	501
74	88	500
75	89	500
76	90	498
77	91	496
78	92	495
79	94	495
80	95	495
81	96	494
82	97	492
83	99	490
84	100	489
85	101	487
86	102	485
87	103	484
88	104	482
89	105	482
90	108	487
91	109	486
92	110	485
93	112	484
94	113	483
95	114	481
96	115	480
97	116	478
98	117	477
99	118	475
100	120	474
101	121	473
102	122	471
103	123	470
104	124	469
105	125	467
106	126	464
107	127	464
108	129	463
109	130	461
110	131	459
111	132	458
112	134	459
113	135	458
114	136	457
115	137	456
116	141	462
117	142	462
118	144	461
119	145	459
120	146	458
121	147	458
122	149	457
123	150	455
124	151	453
125	152	452
126	153	451
127	154	450
128	156	449
129	157	447
130	158	445
131	159	444
132	161	446
133	162	445
134	164	443
135	165	442
136	166	441
137	168	441
138	169	439
139	170	437
140	171	436
141	172	435
142	173	434
143	175	433
144	176	431
145	177	430
146	178	428
147	179	426
148	180	424
149	181	423
150	182	421
151	183	420
152	184	418
153	185	417
154	186	416
155	188	415
156	189	414
157	190	412
158	191	410
159	192	409
160	194	408
161	195	407
162	196	406
163	197	404
164	198	403
165	200	402
166	201	401
167	202	400
168	204	400
169	205	399
170	206	398
171	208	396
172	209	395
173	210	394
174	211	393
175	213	392
176	214	391
